;fcitx Version 0x03 Table file
键码=abcdefghijklmnopqrstuvwxyz;
码长=4
[组词规则]
e2=p11+p12+p21+p22
e3=p11+p21+p31+p32
a4=p11+p21+p31+n11
[数据]
aryl 傲然屹立
asbj 阿塞拜疆
asey 埃塞俄比亚
asjm 爱斯基摩
aska 奥斯卡
aslu 奥斯陆
aspl 阿司匹林
asqb 暗送秋波
atbp 凹凸不平
atkq 暗通款曲
atjk 凹透镜
atsj 按图索骥
atug 安徒生
atyj 哀痛欲绝
auaj 碍手碍脚
aubu 爱说不说
aukb 昂首阔步
aulm 安身立命
auma 阿诗玛
auny 爱沙尼亚
auqx 傲视群雄
autx 昂首挺胸
autq 唉声叹气
auvd 安身之地
auvl 安史之乱
auvi 安身之处
avbj 安装版
avew 安枕而卧
avff 安知非福
avms 暗中摸索
avrs 安之若素
avwy 安枕无忧
avyu 爱之欲其生
awhv 奥委会
awjw 爱屋及乌
awtr 暗无天日
axbx 爱信不信
axcz 暗箱操作
axfp 按需分配
axhp 按下葫芦起来瓢
axjl 爱新觉罗
axuy 暗香疏影
axym 爱惜羽毛
ayhv 奥运会
ayst 爱因斯坦
ayvv 安营扎寨
ayxv 安于现状
azbk 艾滋病
azfm 爱憎分明
azpc 腌臜泼才
b 不
bak 吧
bu 部
bc 报
bf 本
bww 备
bwl 北
bcby 宝
bcr 保
bn 表
bj 办
bk 并
bi 比
buv 步
ba 把
bnm 标
bw 被
bp 别
bmw 变
bda 百
bizt 逼
bid 必
bcb 包
buu 布
bap 八
bmr 便
bjp 版
bm 边
bkb 病
bd 白
bav 巴
basl 巴
bjd 半
bjw 班
bod 波
bms 编
bkq 兵
bup 补
bh 帮
bip 币
biv 笔
bou 博
bjv 般
bwr 倍
bof 播
bmz 遍
bjm 板
bibu 毕
bdk 败
bihb 秘
bbb 宾
bwlo 背
bdf 摆
bkd 冰
biz 避
bco 暴
bim 闭
bfv 笨
bfd 奔
bwm 杯
bjb 颁
bjr 伴
boul 勃
bo 拨
baf 拔
bcos 胞
bwkr 贝
bcc 薄
boc 薄
bhf 邦
bdrb 伯
bor 伯
bch 爆
bb 滨
bow 玻
bcu 饱
biu 壁
biut 壁
buf 捕
bcf 抱
bdu 拜
bwfi 辈
bjf 搬
bofc 搏
bwf 悲
bcrt 堡
bur 堡
bbw 斌
bbwv 斌
bhmf 榜
bwu 碑
bat 坝
bml 辩
bab 爸
bkuk 屏
bdm 柏
bom 柏
bodb 泊
bovb 舶
butf 埔
bay 霸
bidc 弊
bii 彼
bas 罢
biw 碧
bce 剥
boe 剥
bodl 渤
bku 饼
bbm 彬
bkh 炳
bjww 斑
bizl 鼻
bca 鲍
bmg 鞭
bhm 棒
biuo 臂
bwuo 臂
bjfd 扮
bbdr 濒
bkp 秉
bol 卜
bul 卜
bgb 甭
bgu 泵
bmk 贬
bnh 彪
bho 膀
bka 丙
but 埠
bomx 驳
bhj 镑
bhjf 镑
bhs 绑
bcou 曝
bhr 傍
bac 芭
bge 崩
bhu 磅
bovc 簿
buvc 簿
bpda 鳖
buk 哺
bux 怖
bic 蔽
bmkc 匾
baz 跋
bfc 苯
bccm 葆
bcd 瀑
bcv 豹
bafb 扒
bbd 殡
bakb 叭
bwp 卑
booz 脖
bidb 泌
bgi 蚌
bhi 蚌
bwx 悖
big 庇
bjfb 拌
bmh 扁
bcbd 刨
bcw 褒
bjfy 扳
bibl 痹
bbs 缤
bjl 瓣
boo 膊
bwwx 惫
bkf 摒
bib 毙
bpd 憋
bg 蹦
bjt 坂
bkm 柄
bovy 簸
bigg 弼
bocy 菠
bag 靶
bje 阪
bouc 礴
bgz 迸
bjs 绊
bgs 绷
bhy 谤
bcy 雹
bdr 佰
babb 疤
bov 箔
bwc 蓓
bipv 匕
bike 鄙
bchs 炮
bie 陛
bba 鬓
bmdx 卞
bbmb 槟
bnj 镖
bhme 梆
bczs 孢
bipu 裨
bduu 掰
boj 铂
boct 蕃
bmd 汴
bccs 苞
bnp 裱
bwe 陂
bcrh 煲
bavb 笆
buj 钚
bmlu 辫
bowq 亳
biur 贲
bal 耙
bojb 钵
bhd 浜
bhdb 浜
bob 帛
bidw 敝
baa 鲅
bwj 钡
bwq 狈
bpb 瘪
bdkr 呗
bwk 呗
bmu 砭
bkw 禀
bno 膘
bnq 飙
bicb 蓖
bam 粑
bae 岜
bwh 焙
bouu 擘
bcp 褓
bnjh 镳
bouz 饽
bmc 苄
bbf 摈
boz 跛
bad 灞
bbo 膑
bikb 吡
bmic 蝙
bdfu 捭
bivb 篦
bgk 嘣
bojd 钹
bir 俾
bij 铋
bdh 稗
bjjy 钣
bhc 蒡
bhcf 蒡
bwuk 碚
baj 钯
bjby 瘢
bnn 婊
bpdr 蹩
bibb 毖
bivu 筚
bcz 趵
bicz 荸
bicu 薜
bin 婢
boum 檗
bik 哔
bukb 卟
bma 鳊
bkbe 邴
bnmx 骠
bmsc 弁
bbwd 玢
bfj 锛
bidl 濞
bbj 镔
buz 逋
bafd 捌
bih 秕
bix 愎
bfs 畚
binb 妣
bnjs 飑
bbe 豳
bbg 髌
bnmu 杓
bguw 甏
bivl 箅
bbr 傧
bok 啵
boun 鹁
buo 晡
bwgu 庳
bigu 髀
bwgy 鞴
bit 畀
bidm 滗
bmp 褊
bacd 菝
bagd 魃
bjbw 癍
bfb 坌
bfdl 夯
biq 狴
biun 嬖
bmuc 碥
bna 鳔
buyn 醭
bwuj 鐾
bmx 忭
bnb 瘭
bozk 踣
bgj 镚
bgp 祊
boa 鲌
bamb 朳
bfn 犇
ban 妭
bao 胈
bayb 羓
baab 鲃
bbbe 邠
bcms 枹
bfm 栟
bgw 琫
bhk ??
bhw 玤
bhmk 棓
bht 塝
bhff 搒
bikr 赑
bibt 坒
birb 佖
bibe 邲
biy 诐
biwb 珌
bixy 觱
biwy 觱
biay 觱
bia 鲾
bjmb 柈
bjoy 昄
bjdy 湴
bjgb 靽
bko 昺
bki 蛃
bmf 抃
bmo 昪
bmcc 萹
bnr 俵
bnoy 脿
bnc 蔈
bnhx 熛
bnrh 儦
bnch 藨
boar 僰
boub 砵
bokz 哱
bomz 桲
boab 鲌
boet 嶓
bojc 镈
boh 馞
buc 蔀
bwmu 椑
bwmy 糒
bojy ??
bufn ??
bomc 欂
bua 不
bfa 本
bwlb 北
bcrm 保
bjld 办
buvp 步
bwpy 被
bmwy 变
bdab 百
bpk 别
bwwt 备
bcbs 包
bapn 八
bmrg 便
bjpy 版
bmzl 边
bfdc 奔
bcfs 抱
bwfx 悲
burt 堡
batr 坝
bkbb 病
bavv 巴
body 波
bkqb 兵
bhfj 帮
bipj 币
bwrk 倍
boft 播
bdkw 败
bdfs 摆
bjbr 颁
bjrb 伴
bofd 拨
bccc 薄
bocc 薄
bhfe 邦
borb 伯
bowy 玻
bcus 饱
bdmb 柏
bomb 柏
bayo 霸
biiy 彼
bass 罢
bced 剥
boed 剥
bbmp 彬
bkhb 炳
bcas 鲍
bkpn 秉
bold 卜
bguu 泵
bmkf 贬
bnhp 彪
bhof 膀
bhse 绑
bacb 芭
bgeo 崩
buxj 怖
bicw 蔽
bazd 跋
bfcb 苯
bbdb 殡
bwpu 卑
bgif 蚌
bcwy 褒
bbsb 缤
booc 膊
bkfk 摒
bpdx 憋
bgzo 蹦
bagb 靶
bgzk 迸
bjsb 绊
bgso 绷
bhyf 谤
bgby 甭
bcys 雹
bwck 蓓
biet 陛
bbab 鬓
bmdb 汴
bnpy 裱
bwey 陂
bobj 帛
baad 鲅
bwjr 钡
bpbb 瘪
bkwx 禀
bnox 膘
bnqx 飙
baeb 岜
bwhk 焙
bmcb 苄
bbfb 摈
bozy 跛
bado 灞
bbob 膑
bgko 嘣
bajb 钯
binu 婢
biku 哔
bmac 鳊
bfjc 锛
buzf 逋
bbeu 豳
bbgb 髌
bbrb 傧
boky 啵
buof 晡
bitl 畀
bfbt 坌
biqt 狴
bnax 鳔
bnbx 瘭
bgjo 镚
bgpf 祊
band 妭
baod 胈
bgwl 琫
bhwf 榜文
bhtf 塝
biat 鲾
bkob 昺
bkib 蛃
bmfb 抃
bmoc 昪
bnry 俵
bncx 蔈
bohz 馞
buad 不
bfaa 本
bpkd 别
bijn 比较
bx 必须
bt 不同
bv 保证
bq 并且
by 必要
bz 不再
bs 比赛
bl 本来
br 不然
be 不饿
baba 爸爸
babc 八宝
babd 八百
babi 芭比
babk 把柄
bacc 拔草
badc 霸道
badn 拔掉
badz 巴豆
bael 北爱尔兰
bafg 把风
bafh 八方
bagc 拔高
bage 八个
bagr 把关
bags 罢工
bagu 八股
bagx 八卦
bagl 扒光
bahf 疤痕
bahe 拔河
bahu 跋扈
bahl 八荒
bahx 不安好心
baiu 拔出
baie 扒车
baig 八成
baih 靶场
baii 把持
baji 吧唧
bajm 拔尖
bajn 八角
bajp 巴结
bake 罢课
baks 把控
bala 扒拉
balb 巴林
bale 罢了
bali 巴黎
balu 八路
balw 芭蕾
bama 爸妈
bamc 拔毛
bamd 把脉
bamf 把门
bamm 罢免
bapi 扒皮
baq 不安全
baqr 霸权
baqi 霸气
baqm 八千
basd 罢赛
basv 八岁
batd 吧台
batm 八天
batv 拔腿
baue 跋涉
baui 八十
bauu 巴蜀
bauz 把手
bave 八折
bavh 巴掌
bavj 霸占
bavu 霸主
bawo 把握
bawf 把稳
bawh 霸王
bawj 把玩
baxb 靶心
baxi 巴西
baxm 八仙
baxq 罢休
baxx 拔下
baxy 八旬
baya 拔牙
baye 霸业
bayi 八一
bayt 八月
bazi 八字
bazu 保安族
bbbi 并不比
bbbb 宾
bbbk 不卑不亢
bbbd 不比不知道
bbdc 办不到
bbde 巴不得
bbdn 百般刁难
bbdv 不必当真
bbdy 逼不得已
bbds 巴巴多斯
bbff 缤纷
bbgr 宾馆
bbhd 滨海
bbhe 滨河
bbig 办不成
bbiy 百步穿杨
bbjl 滨江
bbjn 鬓角
bbju 比比皆是
bbjx 步步惊心
bbjb 步步紧逼
bbko 不包括
bbke 宾客
bbku 必不可少
bbl 八百里
bblb 濒临
bbli 宾利
bblm 殡殓
bbly 巴比伦
bblx 便把令来行
bbmc 鬓毛
bbmm 爸爸妈妈
bbpg 宾朋
bbpp 白白胖胖
bbqq 北半球
bbqi 摈弃
bbrd 兵败如山倒
bbth 棒棒糖
bbtt 蹦蹦跳跳
bbui 并不是
bbuu 并不是说
bbuh 比不上
bbum 帮不上忙
bbvz 八宝粥
bbvd 并不知道
bbvj 八拜之交
bbvu 宾主
bbvw 不辨真伪
bbvy 不白之冤
bbwn 被逼无奈
bbwj 北部湾
bbww 濒危
bbwx 白璧微瑕
bbwy 步步为营
bbxr 兵不血刃
bbxy 并不需要
bbyc 不必要
bbyh 北冰洋
bbyl 彬彬有礼
bbyu 宾语
bbyv 兵不厌诈
bbyd 并不一定
bbyy 巴布亚新几内亚
bbzi 半辈子
bbzh 殡葬
bbzy 不必在意
bcan 保安
bcbc 宝宝
bcbf 保本
bcbi 包庇
bcbj 包办
bcbk 刨冰
bcbm 褒贬
bcbn 报表
bcbw 宝贝
bcch 爆仓
bccj 饱餐
bcco 报错
bccy 保存
bccd 包菜
bcda 报答
bcdc 报道
bcdi 保底
bcdj 保单
bcdk 保定
bcdm 宝典
bcdp 暴跌
bcds 暴动
bcdu 报毒
bcen 报恩
bceb 不辞而别
bcfa 爆发
bcfg 暴风
bcfh 包房
bcfu 报复
bcfw 报废
bcfy 不测风云
bcgc 报告
bcgd 宝盖
bcge 饱嗝
bcgj 包干
bcgl 曝光
bcgm 本草纲目
bcgo 包裹
bcgr 保管
bcgs 包公
bcgu 包谷
bcgv 宝贵
bche 饱和
bchf 抱恨
bchj 包含
bchr 包换
bchu 保护
bchx 包藏祸心
bcia 宝刹
bcic 爆炒
bcie 包车
bcih 包场
bcii 保持
bciu 爆出
bciz 报酬
bcjb 抱紧
bcjd 不存芥蒂
bcji 宝鸡
bcjk 报警
bcjl 褒奖
bcjm 保健
bcjp 保洁
bcju 保举
bcjx 报价
bcjy 暴君
bcko 包括
bckc 报考
bckj 报刊
bcke 剥壳
bcks 暴恐
bckr 病从口入
bcki 病从口入，祸从口出
bcku 宝库
